year,month,fuel_type,count
2021,8,LPG,1
2021,8,PHEV,5163
2021,8,Petrol,6321
2021,9,BEV,4039
2021,9,CNG,11
2021,9,Diesel,1946
2021,9,Diesel Hybrid,887
2021,9,Hydrogen,5
2021,9,PHEV,5740
2021,9,Petrol,7045
2021,10,BEV,2184
2021,10,CNG,24
2021,10,Diesel,1518
2021,10,Diesel Hybrid,600
2021,10,Hydrogen,3
2021,10,PHEV,4624
2021,10,Petrol,6105
2021,11,BEV,3591
2021,11,CNG,12
2021,11,Diesel,1991
2021,11,Diesel Hybrid,812
2021,11,Hydrogen,3
2021,11,LPG,1
2021,11,PHEV,5176
2021,11,Petrol,7220
2021,12,BEV,5603
2021,12,CNG,60
2021,12,Diesel,3012
2021,12,Diesel Hybrid,912
2021,12,Hydrogen,4
2021,12,PHEV,6554
2021,12,Petrol,8244
2022,1,BEV,2154
2022,1,CNG,13
2022,1,Diesel,2098
2022,1,Diesel Hybrid,699
2022,1,Hydrogen,8
2022,1,LPG,1
2022,1,PHEV,4821
2022,1,Petrol,6350
2022,2,BEV,2458
2022,2,CNG,6
2022,2,Diesel,2157
2022,2,Diesel Hybrid,757
2022,2,Hydrogen,4
2022,2,PHEV,4915
2022,2,Petrol,6385
2022,3,BEV,4257
2022,3,CNG,12
2022,3,Diesel,2226
2022,3,Diesel Hybrid,925
2022,3,Hydrogen,6
2022,3,PHEV,6322
2022,3,Petrol,7979
2022,4,BEV,2110
2022,4,CNG,7
2022,4,Diesel,1916
2022,4,Diesel Hybrid,719
2022,4,Hydrogen,9
2022,4,PHEV,4753
2022,4,Petrol,6088
2022,5,BEV,2624
2022,5,CNG,9
2022,5,Diesel,2615
2022,5,Diesel Hybrid,941
2022,5,Hydrogen,10
2022,5,PHEV,5495
2022,5,Petrol,6772
2022,6,BEV,4461
2022,6,CNG,9
2022,6,Diesel,2469
2022,6,Diesel Hybrid,900
2022,6,Hydrogen,10
2022,6,LPG,1
2022,6,PHEV,5781
2022,6,Petrol,7655
2022,7,BEV,1992
2022,7,CNG,10
2022,7,Diesel,1961
2022,7,Diesel Hybrid,790
2022,7,Hydrogen,10
2022,7,PHEV,4063
2022,7,Petrol,6733
2022,8,BEV,2294
2022,8,CNG,18
2022,8,Diesel,2056
2022,8,Diesel Hybrid,885
2022,8,Hydrogen,5
2022,8,PHEV,4419
2022,8,Petrol,6729
2022,9,BEV,4220
2022,9,CNG,3
2022,9,Diesel,2414
2022,9,Diesel Hybrid,938
2022,9,Hydrogen,4
2022,9,LPG,1
2022,9,PHEV,5588
2022,9,Petrol,7849
2022,10,BEV,2442
2022,10,CNG,13
2022,10,Diesel,1869
2022,10,Diesel Hybrid,934
2022,10,Hydrogen,1
2022,10,PHEV,5233
2022,10,Petrol,6701
2022,11,BEV,4355
2022,11,CNG,8
2022,11,Diesel,2205
2022,11,Diesel Hybrid,1181
2022,11,PHEV,6054
2022,11,Petrol,7544
2022,12,BEV,6820
2022,12,CNG,14
2022,12,Diesel,2300
2022,12,Diesel Hybrid,1431
2022,12,Hydrogen,5
2022,12,LPG,1
2022,12,PHEV,5904
2022,12,Petrol,8030
2023,1,BEV,2870
2023,1,CNG,3
2023,1,Diesel,1660
2023,1,Diesel Hybrid,992
2023,1,Hydrogen,7
2023,1,PHEV,5133
2023,1,Petrol,5982
2023,2,BEV,2606
2023,2,CNG,3
2023,2,Diesel,1607
2023,2,Diesel Hybrid,977
2023,2,Hydrogen,3
2023,2,LPG,1
2023,2,PHEV,5390
2023,2,Petrol,6651
2023,3,BEV,4841
2023,3,CNG,13
2023,3,Diesel,2354
2023,3,Diesel Hybrid,1379
2023,3,Hydrogen,7
2023,3,LPG,2
2023,3,PHEV,7737
2023,3,Petrol,8998
2023,4,BEV,3389
2023,4,CNG,3
2023,4,Diesel,1646
2023,4,Diesel Hybrid,974
2023,4,Hydrogen,2
2023,4,PHEV,5517
2023,4,Petrol,6605
2023,5,BEV,4354
2023,5,CNG,8
2023,5,Diesel,2180
2023,5,Diesel Hybrid,1028
2023,5,Hydrogen,1
2023,5,PHEV,6554
2023,5,Petrol,7465
2023,6,BEV,5193
2023,6,CNG,4
2023,6,Diesel,2450
2023,6,Diesel Hybrid,1120
2023,6,Hydrogen,1
2023,6,PHEV,7933
2023,6,Petrol,8472
2023,7,BEV,3604
2023,7,CNG,2
2023,7,Diesel,1958
2023,7,Diesel Hybrid,854
2023,7,Hydrogen,2
2023,7,PHEV,5745
2023,7,Petrol,6253
2023,8,BEV,4302
2023,8,Diesel,1775
2023,8,Diesel Hybrid,963
2023,8,Hydrogen,1
2023,8,PHEV,5937
2023,8,Petrol,6056
2023,9,BEV,5157
2023,9,Diesel,1821
2023,9,Diesel Hybrid,1218
2023,9,LPG,1
2023,9,PHEV,6688
2023,9,Petrol,6793
2023,10,BEV,4496
2023,10,Diesel,1750
2023,10,Diesel Hybrid,974
2023,10,Hydrogen,1
2023,10,PHEV,6784
2023,10,Petrol,6267
2023,11,BEV,4737
2023,11,CNG,1
2023,11,Diesel,2044
2023,11,Diesel Hybrid,1182
2023,11,Hydrogen,1
2023,11,PHEV,7238
2023,11,Petrol,6815
2023,12,BEV,7252
2023,12,CNG,2
2023,12,Diesel,2270
2023,12,Diesel Hybrid,1296
2023,12,Hydrogen,1
2023,12,PHEV,8487
2023,12,Petrol,7550
2024,1,BEV,2389
2024,1,CNG,1
2024,1,Diesel,1713
2024,1,Diesel Hybrid,876
2024,1,Hydrogen,6
2024,1,PHEV,5394
2024,1,Petrol,5007
2024,2,BEV,3311
2024,2,CNG,1
2024,2,Diesel,1727
2024,2,Diesel Hybrid,861
2024,2,Hydrogen,1
2024,2,PHEV,6738
2024,2,Petrol,5937
2024,3,BEV,4827
2024,3,CNG,1
2024,3,Diesel,2081
2024,3,Diesel Hybrid,1118
2024,3,PHEV,8257
2024,3,Petrol,7474
2024,4,BEV,3125
2024,4,Diesel,2035
2024,4,Diesel Hybrid,1080
2024,4,Hydrogen,1
2024,4,PHEV,6926
2024,4,Petrol,6698
2024,5,BEV,3583
2024,5,CNG,1
2024,5,Diesel,2433
2024,5,Diesel Hybrid,1183
2024,5,LPG,1
2024,5,PHEV,7171
2024,5,Petrol,6868
2024,6,BEV,4222
2024,6,Diesel,2269
2024,6,Diesel Hybrid,1235
2024,6,LPG,1
2024,6,PHEV,8595
2024,6,Petrol,6529
2024,7,BEV,3398
2024,7,Diesel,1848
2024,7,Diesel Hybrid,1020
2024,7,Hydrogen,1
2024,7,PHEV,6737
2024,7,Petrol,5187
2024,8,BEV,3442
2024,8,Diesel,1430
2024,8,Diesel Hybrid,960
2024,8,PHEV,5912
2024,8,Petrol,4291
2024,9,BEV,4573
2024,9,Diesel,1677
2024,9,Diesel Hybrid,1295
2024,9,Hydrogen,1
2024,9,LPG,3
2024,9,PHEV,7385
2024,9,Petrol,5239
2024,10,BEV,3525
2024,10,Diesel,1598
2024,10,Diesel Hybrid,1109
2024,10,PHEV,7494
2024,10,Petrol,4927
2024,11,BEV,4202
2024,11,Diesel,1511
2024,11,Diesel Hybrid,1133
2024,11,Hydrogen,1
2024,11,PHEV,7839
